SSN,Name,Contact,Marketing_team_SSN
821318681,Aarav,1731120143,451818832
851484165,Christine,3453920104,449615230
381061296,Brendon,8002949851,411469277
946799278,Jaslyn,3161947598,746073353
579761445,Bruce,6639019075,451818832
464427555,Natalya,4563867338,449615230
240946011,Melissa,9278135320,411469277
764890110,Lawrence,5710410442,746073353
621390941,Aryan,3982223052,451818832
356834562,Clark,4574388031,449615230
523227123,Dylan,2262069411,411469277
256706017,Lucy,2293193101,746073353
158577524,Memphis,2220335701,449615230
675036467,Elizabeth,6676620107,449615230
606390483,Marely,4313038480,449615230
562599246,Asher,3240758170,449615230
707482465,Tara,6356166280,449615230
786577145,Camryn,7181361913,449615230
526533387,Emmanuel,5675876980,746073353
488339378,Lina,4787701022,746073353
