Association_id,Marketing_team_SSN ,Traveler_SSN
201,451818832,778628144
202,449615230,757857495
203,411469277,149137317
204,746073353,909034642
205,451818832,781708498
206,449615230,789218631
207,411469277,182731694
208,746073353,303810470
209,451818832,758134820
210,449615230,805070576
211,411469277,554142964
212,746073353,113859381
213,449615230,121380249
214,449615230,167192705
215,449615230,393761361
216,449615230,426771465
217,449615230,356145193
218,449615230,974235915
219,746073353,535180426
220,746073353,362846712
221,451818832,563083936
222,746073353,126845100
223,411469277,149069832
224,449615230,971417040
225,449615230,129473345
226,411469277,763817843
227,449615230,154114723
228,411469277,692394878
229,449615230,931105499
230,449615230,431690665
