Travel_plan_id,City,Country,Festival,Festival_month,Marketing_team_SSN
1,Hong Kong,Hong Kong,,,451818832
2,Singapore,Singapore,,,449615230
3,Bangkok,Thailand,,,411469277
4,London,UK,,,746073353
5,Macau,Macau,,,
6,Kuala Lumpur,Malaysia,,,
7,Shenzhen,China,,,
8,New York City,USA,,,
9,Antalya,Turkey,,,
10,Paris,France,Cannes Film Festival,May,
11,Istanbul,Turkey,,,
12,Rome,Italy,,,
13,Dubai,UAE,,,
14,Guangzhou,China,,,
15,Phuket,Thailand,,,
16,Mecca,Saudi Arabia,,,
17,Pattaya,Thailand,,,
18,Taipei City,Taiwan,,,
19,Prague,Czech Republic,,,
20,Shanghai,China,,,
21,Las Vegas,USA,,,
22,Miami,USA,,,
23,Barcelona,Spain,Semana Santa,March,
24,Moscow,Russia,,,
25,Beijing,China,,,
26,Los Angeles,USA,,,
27,Budapest,Hungary,,,
28,Vienna,Austria,,,
29,Amsterdam,Netherlands,,,
30,Sofia,Bulgaria,,,
31,Bunol,Spain,La Tomatina,August,
32,Orlando,USA,,,
33,Edinburgh,Scotland,Edinburgh Festival Fringe,August,
34,Lima,Peru,,,
35,Berlin,Germany,,,
36,Tokyo,Japan,Gion Matsuri,July,
37,Warsaw,Poland,,,
38,Chennai,India,Pongal,January,
39,Cairo,Egypt,,,
40,Nairobi,Kenya,,,
41,Hangzhou,China,,,
42,Milan,Italy,,,
43,San Francisco,USA,,,
44,Buenos Aires,Argentina,,,
45,Venice,Italy,,,
46,Mexico City,Mexico,Dia De Los Muertos,November,
47,Dublin,Ireland,Saint Patrick Festival,March,
48,Seoul,South Korea,,,
49,Mugla,Turkey,Mevlana Festival,December,
50,Mumbai,India,Diwali,November,
51,Denpasar,Indonesia,,,
52,Delhi,India,,,
53,Toronto,Canada,,,
54,Zhuhai,China,,,
55,St Petersburg,Russia,,,
56,Burgas,Bulgaria,,,
57,Sydney,Australia,Sydney Gay and Lesbian Mardi Gras,March,
58,Djerba,Tunisia,,,
59,Munich,Germany,Oktoberfest,October,
60,Johannesburg,South Africa,,,
61,Cancun,Mexico,,,
62,Edirne,Turkey,,,
63,Suzhou,China,,,
64,Bucharest,Romania,,,
65,Punta Cana,Dominican Republic,,,
66,Agra,India,,,
67,Jaipur,India,,,
68,Brussels,Belgium,,,
69,Nice,France,,,
70,Chiang Mai,Thailand,Songkran,April,
71,Sharm el-Sheikh,Egypt,,,
72,Lisbon,Portugal,,,
73,East Province,Saudi Arabia,,,
74,Marrakech,Morocco,,,
75,Jakarta,Indonesia,,,
76,Manama,Bahrain,,,
77,Hanoi,Vietnam,,,
78,Honolulu,USA,,,
79,Manila,Philippines,,,
80,Guilin,China,,,
81,Auckland,New Zealand,,,
82,Siem Reap,Cambodia,,,
83,Sousse,Tunisia,,,
84,Amman,Jordan,,,
85,Vancouver,Canada,,,
86,Abu Dhabi,UAE,,,
87,Kiev,Ukraine,,,
88,Doha,Qatar,,,
89,Florence,Italy,,,
90,Rio de Janeiro,Brazil,Carnival ,February,
91,Melbourne,Australia,,,
92,Washington D.C.,USA,,,
93,Riyadh,Saudi Arabia,,,
94,Christchurch,New Zealand,,,
95,Frankfurt,Germany,,,
96,Baku,Azerbaijan,,,
97,Sao Paulo,Brazil,,,
98,Harare,Zimbabwe,,,
99,Kolkata,India,Holi Festival,March,
100,Nanjing,China,,,
