SSN,Name,Contact,Agent_SSN,Marketing_team_SSN
778628144,Alonzo,7695375584,821318681,451818832
757857495,Amirah,6428691672,851484165,449615230
149137317,Salvatore,5425092818,381061296,411469277
909034642,Franklin,6588912593,946799278,746073353
781708498,Trevin,5285506025,579761445,451818832
789218631,Curtis,9619068824,464427555,449615230
182731694,Cindy,4950028706,240946011,411469277
303810470,Raiden,5165264393,764890110,746073353
758134820,Kadence,3899520672,621390941,451818832
805070576,Lacey,4995228028,356834562,449615230
554142964,Liberty,1287177796,523227123,411469277
113859381,Iris,7263354715,256706017,746073353
121380249,Asia,7882101770,158577524,449615230
167192705,Reina,4589502822,675036467,449615230
393761361,Keon,9837794541,606390483,449615230
426771465,Natalya,6337025322,562599246,449615230
356145193,Skyla,7137628793,707482465,449615230
974235915,Jaiden,3016278895,786577145,449615230
535180426,Derek,6786449890,526533387,746073353
362846712,Carmen,4511425214,488339378,746073353
563083936,Lilian,9226066704,821318681,451818832
126845100,Bentley,1784580956,764890110,746073353
149069832,Nathalia,2770626421,381061296,411469277
971417040,Kristina,3171901048,356834562,449615230
129473345,Antony,5494263307,707482465,449615230
763817843,Allie,2249044752,381061296,411469277
154114723,Reyna,6955009116,675036467,449615230
692394878,Elisha,1804316107,381061296,411469277
931105499,Francisco,8479395022,675036467,449615230
431690665,Bradyn,4931851623,158577524,449615230
